miRBase,CID,Correlation
MIMAT0000450,47725,1
MIMAT0004609,3385,1
MIMAT0004609,2662,1
MIMAT0000784,36314,1
MIMAT0000160,6036,1
MIMAT0000160,12967,1
MIMAT0000160,2336,1
MIMAT0000451,5793,1
MIMAT0000451,10836,1
MIMAT0000451,123596,1
MIMAT0000451,5288826,1
MIMAT0000451,14888,1
MIMAT0000853,5743,1
MIMAT0000853,6440495,1
MIMAT0001846,74483,1
MIMAT0004610,10635,1
MIMAT0004610,119307,1
MIMAT0000161,5757,1
MIMAT0000757,3385,1
MIMAT0000757,712,1
MIMAT0000757,5280961,1
MIMAT0000613,444254,1
MIMAT0000757,5280795,1
MIMAT0000757,119307,1
MIMAT0004536,16078949,1
MIMAT0004536,8490,1
MIMAT0004697,5280795,1
MIMAT0004697,3385,1
MIMAT0004697,5310940,1
MIMAT0000162,702,1
MIMAT0000162,8490,1
MIMAT0000438,3229,1
MIMAT0000438,3028194,1
MIMAT0000438,448537,1
MIMAT0000438,712,1
MIMAT0000438,702,1
MIMAT0000438,2375,1
MIMAT0000854,89594,1
MIMAT0000854,6440495,1
MIMAT0000438,3385,1
MIMAT0017134,2733526,1
MIMAT0000163,5281004,1
MIMAT0000163,210332,1
MIMAT0000439,3220,1
MIMAT0000439,444732,1
MIMAT0000439,5394,1
MIMAT0001849,702,1
MIMAT0000439,15939,1
MIMAT0000855,1983,1
MIMAT0000855,5943,1
MIMAT0007401,60823,1
MIMAT0001849,74483,1
MIMAT0001848,74483,1
MIMAT0001850,74483,1
MIMAT0000164,702,1
MIMAT0000452,60750,1
MIMAT0000165,969516,1
MIMAT0000165,2907,1
MIMAT0000646,24360,1
MIMAT0000646,446220,1
MIMAT0000646,5793,1
MIMAT0000646,107985,1
MIMAT0000646,3028194,1
MIMAT0000646,5311,1
MIMAT0000646,6623,1
MIMAT0000646,119307,1
MIMAT0000646,60750,1
MIMAT0000646,444732,1
MIMAT0000646,14888,1
MIMAT0000646,451668,1
MIMAT0000646,3385,1
MIMAT0000646,5394,1
MIMAT0000646,5816,1
MIMAT0000646,5288826,1
MIMAT0000165,5459308,1
MIMAT0000165,4891,1
MIMAT0000646,1175,1
MIMAT0000646,3652,1
MIMAT0000166,3496,1
MIMAT0000618,23973,1
MIMAT0004445,23973,1
MIMAT0000167,3496,1
MIMAT0000168,3496,1
MIMAT0000626,5359268,1
MIMAT0001020,23973,1
MIMAT0001021,23973,1
MIMAT0017417,444732,1
MIMAT0000176,5281929,1
MIMAT0005635,23973,1
MIMAT0000177,3496,1
MIMAT0000207,3496,1
MIMAT0001015,3496,1
MIMAT0000068,5280453,1
MIMAT0000068,2336,1
MIMAT0000068,444795,1
MIMAT0000068,448537,1
MIMAT0000068,969516,1
MIMAT0000068,712,1
MIMAT0000068,3385,1
MIMAT0000068,387447,1
MIMAT0000068,451668,1
MIMAT0000068,460612,1
MIMAT0000526,6036,1
MIMAT0000526,2733526,1
MIMAT0000526,8490,1
MIMAT0000526,16741,1
MIMAT0000526,210332,1
MIMAT0001772,15625,1
MIMAT0004488,216326,1
MIMAT0000124,16078949,1
MIMAT0000124,8490,1
MIMAT0000417,444795,1
MIMAT0000417,969516,1
MIMAT0000417,448537,1
MIMAT0000417,36462,1
MIMAT0000417,3385,1
MIMAT0000417,712,1
MIMAT0000417,119307,1
MIMAT0000417,5757,1
MIMAT0000417,6623,1
MIMAT0000417,13089,1
MIMAT0000417,5280795,1
MIMAT0000784,5743,1
MIMAT0000784,3779,1
MIMAT0000784,2236,1
MIMAT0001773,74483,1
MIMAT0000417,5288826,1
MIMAT0004586,702,1
MIMAT0003764,74483,1
MIMAT0000069,2336,1
MIMAT0000069,24497,1
MIMAT0000069,451668,1
MIMAT0000069,444732,1
MIMAT0000069,444795,1
MIMAT0000069,969516,1
MIMAT0000069,5793,1
MIMAT0000069,6623,1
MIMAT0000069,162282,1
MIMAT0000069,89594,1
MIMAT0000069,712,1
MIMAT0000069,3229,1
MIMAT0000069,119307,1
MIMAT0000069,3385,1
MIMAT0000069,14888,1
MIMAT0000069,387447,1
MIMAT0000069,460612,1
MIMAT0000527,6036,1
MIMAT0000527,2733526,1
MIMAT0000527,8490,1
MIMAT0000527,6410,1
MIMAT0000785,5743,1
MIMAT0000069,5288826,1
MIMAT0023617,23973,1
MIMAT0001030,5359268,1
MIMAT0000069,60750,1
MIMAT0000069,448537,1
MIMAT0004489,3220,1
MIMAT0004489,107985,1
MIMAT0000632,23973,1
MIMAT0000185,5281929,1
MIMAT0000185,5280896,1
MIMAT0005633,3496,1
MIMAT0023622,23973,1
MIMAT0020976,3496,1
MIMAT0023623,3496,1
MIMAT0024890,3496,1
MIMAT0000187,5280896,1
MIMAT0000189,5281929,1
MIMAT0000189,5280896,1
MIMAT0000639,23973,1
MIMAT0001072,23973,1
MIMAT0001074,23973,1
MIMAT0001037,23973,1
MIMAT0001037,5359268,1
MIMAT0001087,23973,1
MIMAT0000196,5281929,1
MIMAT0000196,5280896,1
MIMAT0014332,3496,1
MIMAT0005626,23973,1
MIMAT0005627,23973,1
MIMAT0000643,3496,1
MIMAT0005628,23973,1
MIMAT0001948,5280896,1
MIMAT0005625,23973,1
MIMAT0000198,5281929,1
MIMAT0000198,5280896,1
MIMAT0001045,3496,1
MIMAT0001045,23973,1
MIMAT0001045,5359268,1
MIMAT0001046,3496,1
MIMAT0001046,23973,1
MIMAT0000200,5280896,1
MIMAT0000644,3496,1
MIMAT0001052,5359268,1
MIMAT0001775,74483,1
MIMAT0000070,3385,1
MIMAT0000070,162282,1
MIMAT0000070,9444,1
MIMAT0000070,14888,1
MIMAT0000070,451668,1
MIMAT0000070,5352624,1
MIMAT0000070,2375,1
MIMAT0000649,108065,1
MIMAT0000649,6410,1
MIMAT0000649,5743,1
MIMAT0000786,3779,1
MIMAT0000071,5311,1
MIMAT0000650,16078949,1
MIMAT0000650,6410,1
MIMAT0000645,23973,1
MIMAT0001063,23973,1
MIMAT0001068,23973,1
MIMAT0001069,5359268,1
MIMAT0000205,5281929,1
MIMAT0000071,712,1
MIMAT0000070,24360,1
MIMAT0000070,5757,1
MIMAT0000070,6279,1
MIMAT0000070,448537,1
MIMAT0000070,712,1
MIMAT0000649,2733526,1
MIMAT0000649,5757,1
MIMAT0000786,444254,1
MIMAT0001777,74483,1
MIMAT0003396,15625,1
MIMAT0000072,119307,1
MIMAT0000528,2733526,1
MIMAT0000528,5757,1
MIMAT0000528,210332,1
MIMAT0000210,16741,1
MIMAT0000256,444795,1
MIMAT0006584,89594,1
MIMAT0000210,3007,1
MIMAT0000210,446220,1
MIMAT0000210,5757,1
MIMAT0000210,8490,1
MIMAT0000210,6410,1
MIMAT0000210,702,1
MIMAT0000256,9547215,1
MIMAT0000256,31703,1
MIMAT0000256,969516,1
MIMAT0000256,60750,1
MIMAT0000256,446220,1
MIMAT0000256,712,1
MIMAT0000256,3229,1
MIMAT0000256,119307,1
MIMAT0000256,14888,1
MIMAT0000256,451668,1
MIMAT0000256,107985,1
MIMAT0000858,6440495,1
MIMAT0001623,74483,1
MIMAT0000210,216326,1
MIMAT0000270,5283344,1
MIMAT0000270,969516,1
MIMAT0000660,210332,1
MIMAT0000884,5743,1
MIMAT0000660,10621,1
MIMAT0005443,443586,1
MIMAT0004558,97226,1
MIMAT0000256,445580,1
MIMAT0000256,445639,1
MIMAT0000257,452548,1
MIMAT0000257,444795,1
MIMAT0000257,969516,1
MIMAT0000257,444732,1
